Time,Value
0,3.00
1,3.00
10,4.89
11,4.89
12,4.89
13,4.30
14,3.98
15,4.36
16,4.59
17,4.40
18,4.40
19,4.44
2,3.00
20,4.66
21,4.45
22,3.36
23,3.86
24,3.80
25,4.21
26,4.24
27,3.72
28,3.57
29,3.75
3,3.00
30,3.90
31,3.39
32,2.36
33,2.65
34,3.34
35,3.50
36,3.62
37,3.62
38,3.70
39,4.02
4,3.70
40,4.22
41,4.22
42,4.22
43,4.22
44,4.46
45,4.34
46,4.34
47,4.15
48,2.37
49,1.82
5,4.70
50,1.83
51,1.76
52,1.50
53,1.57
54,1.64
55,1.82
56,1.97
57,2.08
58,2.36
59,2.76
6,4.81
60,3.66
61,3.91
62,3.91
63,3.97
64,4.00
7,4.89
8,4.89
9,4.89
